timestamp,listing_id,variant,top_aspects,bottom_aspects,top_scores,bottom_scores
2026-01-17T21:23:11.847167,10719987,B,"[""overall_positive"", ""overall_positive"", ""overall_positive""]","[""equipment_supplies"", ""equipment_supplies"", ""infrastructure_accessibility""]","[4.0, 4.0, 3.0]","[-5.0, -5.0, -4.0]"
2026-01-17T21:33:25.039509,10719987,B,"[""comprehensive_comments"", ""comprehensive_comments"", ""host_communication""]","[""apartment_issues"", ""apartment_issues"", ""apartment_issues""]","[3.0, 3.0, 3.0]","[-5.0, -5.0, -4.0]"
2026-01-17T21:39:52.886262,10719987,B,"[""comprehensive_comments"", ""comprehensive_comments"", ""host_communication""]","[""apartment_issues"", ""apartment_issues"", ""apartment_issues""]","[3.0, 3.0, 3.0]","[-5.0, -5.0, -4.0]"
2026-01-17T21:42:01.356200,10719987,B,"[""comprehensive_comments"", ""host_communication"", ""apartment_description""]","[""property_condition"", ""apartment_issues"", ""noise_disturbances""]","[156.0, 78.0, 63.0]","[-79.0, -55.0, -17.0]"
2026-01-17T21:47:25.827086,10719987,B,"[""comprehensive_comments"", ""host_communication"", ""apartment_description""]","[""property_condition"", ""apartment_issues"", ""noise_disturbances""]","[156.0, 78.0, 63.0]","[-79.0, -55.0, -17.0]"
2026-01-17T21:53:56.155763,10719987,B,"[""comprehensive_comments"", ""host_communication"", ""apartment_description""]","[""property_condition"", ""apartment_issues"", ""noise_disturbances""]","[156.0, 78.0, 63.0]","[-79.0, -55.0, -17.0]"
2026-01-17T21:56:03.582094,10719987,B,"[""overall_positive"", ""host_communication"", ""apartment_quality""]","[""infrastructure_accessibility"", ""equipment_supplies"", ""environmental_conditions""]","[304.0, 160.0, 76.0]","[-79.0, -55.0, -17.0]"
2026-01-17T21:59:06.376996,10719987,B,"[""overall_positive"", ""host_communication"", ""apartment_quality""]","[""infrastructure_accessibility"", ""equipment_supplies"", ""environmental_conditions""]","[304.0, 160.0, 76.0]","[-79.0, -55.0, -17.0]"
2026-01-17T22:14:00.876031,48686848,B,"[""apartment_quality"", ""overall_positive"", ""apartment_amenities""]","[""environmental_conditions"", ""infrastructure_accessibility"", ""apartment_amenities""]","[2.0, 2.0, 1.0]","[0.0, 0.0, 1.0]"
2026-01-17T22:14:03.049703,43412105,B,"[""host_communication"", ""overall_positive"", ""apartment_quality""]","[""environmental_conditions"", ""apartment_amenities"", ""neighborhood_services""]","[13.0, 13.0, 3.0]","[-2.0, 1.0, 2.0]"
2026-01-17T22:14:05.202805,5993869,A,"[""overall_positive"", ""cleanliness"", ""host_and_property""]","[""atmosphere_ambiance"", ""dining_entertainment"", ""walkability""]","[14.0, 13.0, 6.0]","[1.0, 1.0, 1.0]"
2026-01-17T22:14:07.351572,8181991,A,"[""overall_positive"", ""host_communication"", ""transport_connectivity""]","[""apartment_capacity"", ""walkability"", ""apartment_appearance""]","[25.0, 8.0, 6.0]","[0.0, 0.0, 2.0]"
2026-01-17T22:14:09.512326,-1187219455,A,"[""overall_positive"", ""cleanliness"", ""transport_connectivity""]","[""host_and_property"", ""host_communication"", ""cleanliness""]","[5.0, 2.0, 2.0]","[0.0, 1.0, 2.0]"
2026-01-17T22:14:11.665022,43813038,B,"[""overall_positive"", ""host_communication"", ""apartment_quality""]","[""infrastructure_accessibility"", ""environmental_conditions"", ""equipment_supplies""]","[7.0, 5.0, 2.0]","[-4.0, -3.0, -3.0]"
2026-01-17T22:14:13.831188,2016619646,A,"[""overall_positive"", ""cleanliness"", ""dining_entertainment""]","[""apartment_capacity"", ""host_and_property"", ""apartment_appearance""]","[21.0, 6.0, 6.0]","[1.0, 1.0, 2.0]"
2026-01-17T22:14:15.996299,14701340,A,"[""overall_positive"", ""cleanliness"", ""host_communication""]","[""arrival_check_in_experience"", ""apartment_capacity"", ""transport_connectivity""]","[65.0, 24.0, 17.0]","[2.0, 4.0, 4.0]"
2026-01-17T22:14:18.159647,-738649065,A,"[""overall_positive"", ""host_and_property"", ""cleanliness""]","[""apartment_capacity"", ""arrival_check_in_experience"", ""walkability""]","[8.0, 4.0, 3.0]","[0.0, 0.0, 1.0]"
2026-01-17T22:14:20.343848,38619330,B,"[""overall_positive"", ""host_communication"", ""apartment_quality""]","[""equipment_supplies"", ""infrastructure_accessibility"", ""environmental_conditions""]","[147.0, 55.0, 31.0]","[-17.0, -16.0, -1.0]"
2026-01-17T22:14:22.502631,5235992,A,"[""overall_positive"", ""cleanliness"", ""walkability""]","[""apartment_appearance"", ""atmosphere_ambiance"", ""arrival_check_in_experience""]","[73.0, 37.0, 25.0]","[1.0, 3.0, 6.0]"
2026-01-17T22:14:24.644403,33180309,B,"[""overall_positive"", ""host_communication"", ""host_arrival_services""]","[""equipment_supplies"", ""infrastructure_accessibility"", ""environmental_conditions""]","[53.0, 18.0, 17.0]","[-10.0, -8.0, -1.0]"
